PassportNum,ConfirmationNum,FlightNum,SeatNum,AircraftID
130,649,13,10D,9
131,650,14,3B,81
132,651,14,31A,81
133,652,14,26A,81
134,653,14,20D,81
135,654,14,7C,81
136,655,14,23B,81
137,656,14,24C,81
138,657,14,29A,81
139,658,14,7B,81
140,659,14,35D,81
141,660,14,11C,81
142,661,14,20E,81
143,662,14,23F,81
144,663,14,35B,81
145,664,14,28D,81
146,665,14,29D,81
147,666,14,30F,81
148,667,14,30C,81
149,668,14,30A,81
150,669,14,11A,81
151,670,14,26C,81
152,671,14,20C,81
153,672,14,31D,81
154,673,14,2A,81
155,674,14,1D,81
156,675,14,27D,81
157,676,14,37C,81
158,677,14,10B,81
159,678,14,38C,81
160,679,14,21C,81
161,680,14,22B,81
162,681,14,22E,81
163,682,14,26F,81
164,683,14,23E,81
165,684,14,34C,81
166,685,14,31B,81
167,686,14,38A,81
168,687,14,23C,81
169,688,14,29F,81
170,689,14,25D,81
171,690,14,7F,81
172,691,14,22F,81
173,692,14,30B,81
174,693,14,9D,81
175,694,14,10B,81
176,695,14,32B,81
177,696,14,32C,81
178,697,14,21E,81
179,698,14,36F,81
180,699,14,22C,81
181,700,15,24B,58
182,701,15,32F,58
183,702,15,36E,58
184,703,15,24F,58
185,704,15,21E,58
186,705,15,27F,58
187,706,15,7E,58
188,707,15,30B,58
189,708,15,27D,58
190,709,15,7C,58
191,710,15,26E,58
192,711,15,20F,58
193,712,15,34A,58
194,713,15,25B,58
195,714,15,3D,58
196,715,15,11E,58
197,716,15,29D,58
198,717,15,37E,58
199,718,15,28F,58
200,719,15,27B,58
201,720,15,32A,58
202,721,15,28D,58
203,722,15,26D,58
204,723,15,33C,58
205,724,15,31B,58
206,725,15,29B,58
207,726,15,8C,58
208,727,15,3A,58
209,728,15,24A,58
210,729,15,2A,58
211,730,15,2C,58
212,731,15,2B,58
213,732,15,35C,58
214,733,15,8A,58
215,734,15,12F,58
216,735,15,37D,58
217,736,15,21A,58
218,737,15,9D,58
219,738,15,25F,58
220,739,15,38B,58
221,740,15,8E,58
222,741,15,12A,58
223,742,15,26C,58
224,743,15,12E,58
225,744,15,22B,58
226,745,15,7F,58
227,746,15,28A,58
228,747,15,11B,58
229,748,15,34F,58
230,749,15,27A,58
231,750,16,3A,81
232,751,16,9B,81
233,752,16,9F,81
234,753,16,36E,81
235,754,16,12C,81
236,755,16,12F,81
237,756,16,37A,81
238,757,16,30A,81
239,758,16,38B,81
240,759,16,7E,81
241,760,16,9C,81
242,761,16,34D,81
243,762,16,28B,81
244,763,16,29A,81
245,764,16,26E,81
246,765,16,25E,81
247,766,16,8F,81
248,767,16,3D,81
249,768,16,34F,81
250,769,16,22D,81
251,770,16,32F,81
252,771,16,38D,81
253,772,16,1A,81
254,773,16,24D,81
255,774,16,7B,81
256,775,16,10A,81
257,776,16,33A,81
258,777,16,24E,81
259,778,16,35B,81
260,779,16,21D,81
261,780,16,2C,81
262,781,16,7A,81
263,782,16,23C,81
264,783,16,35A,81
265,784,16,20B,81
266,785,16,36E,81
267,786,16,23A,81
268,787,16,26A,81
269,788,16,35E,81
270,789,16,3B,81
271,790,16,28F,81
272,791,16,23E,81
273,792,16,24A,81
274,793,16,27B,81
275,794,16,26B,81
276,795,16,27F,81
277,796,16,37F,81
278,797,16,32D,81
279,798,16,31D,81
280,799,16,22C,81
281,800,17,38B,71
282,801,17,37B,71
283,802,17,23C,71
284,803,17,28B,71
285,804,17,34B,71
286,805,17,37C,71
287,806,17,24D,71
288,807,17,3D,71
289,808,17,24F,71
290,809,17,26A,71
291,810,17,1B,71
292,811,17,7E,71
293,812,17,27E,71
294,813,17,10F,71
295,814,17,29B,71
296,815,17,9B,71
297,816,17,37E,71
298,817,17,12C,71
299,818,17,30C,71
300,819,17,29F,71
301,820,17,30F,71
302,821,17,35F,71
303,822,17,7A,71
304,823,17,28E,71
305,824,17,21D,71
306,825,17,36E,71
307,826,17,20D,71
308,827,17,33D,71
309,828,17,12A,71
310,829,17,20B,71
311,830,17,25E,71
312,831,17,35B,71
313,832,17,25F,71
314,833,17,3B,71
315,834,17,37F,71
316,835,17,12D,71
317,836,17,23F,71
318,837,17,10E,71
319,838,17,31C,71
320,839,17,21E,71
321,840,17,21B,71
322,841,17,36F,71
323,842,17,28C,71
324,843,17,20F,71
325,844,17,34A,71
326,845,17,36E,71
327,846,17,34E,71
328,847,17,21A,71
329,848,17,23A,71
330,849,17,32F,71
331,850,18,1B,89
332,851,18,25C,89
333,852,18,9D,89
334,853,18,21B,89
335,854,18,22B,89
336,855,18,21F,89
337,856,18,3B,89
338,857,18,22C,89
339,858,18,31E,89
340,859,18,9E,89
341,860,18,33F,89
342,861,18,28A,89
343,862,18,12E,89
344,863,18,12D,89
345,864,18,24C,89
346,865,18,11F,89
347,866,18,34C,89
348,867,18,25D,89
349,868,18,29D,89
350,869,18,23D,89
351,870,18,33B,89
352,871,18,2B,89
353,872,18,7C,89
354,873,18,30D,89
355,874,18,37D,89
356,875,18,28E,89
357,876,18,23E,89
358,877,18,21E,89
359,878,18,36E,89
360,879,18,35E,89
361,880,18,36B,89
362,881,18,21C,89
363,882,18,32D,89
364,883,18,34C,89
365,884,18,23F,89
366,885,18,33D,89
367,886,18,31B,89
368,887,18,11B,89
369,888,18,10D,89
370,889,18,8E,89
371,890,18,38A,89
372,891,18,1B,89
373,892,18,7B,89
374,893,18,35A,89
375,894,18,24D,89
376,895,18,3C,89
377,896,18,3A,89
378,897,18,35B,89
379,898,18,10A,89
380,899,18,30A,89
381,900,19,2D,59
382,901,19,3B,59
383,902,19,30A,59
384,903,19,37C,59
385,904,19,31B,59
386,905,19,30C,59
387,906,19,23A,59
388,907,19,30D,59
389,908,19,38D,59
390,909,19,30B,59
391,910,19,12B,59
392,911,19,34F,59
393,912,19,21A,59
394,913,19,32D,59
395,914,19,38C,59
396,915,19,22E,59
397,916,19,32E,59
398,917,19,33A,59
399,918,19,7C,59
400,919,19,29F,59
401,920,19,29C,59
402,921,19,27E,59
403,922,19,3A,59
404,923,19,12A,59
405,924,19,2A,59
406,925,19,1B,59
407,926,19,7D,59
408,927,19,37D,59
409,928,19,12D,59
410,929,19,35D,59
411,930,19,12E,59
412,931,19,36B,59
413,932,19,35C,59
414,933,19,20A,59
415,934,19,23B,59
416,935,19,35F,59
417,936,19,37F,59
418,937,19,26A,59
419,938,19,21D,59
420,939,19,25E,59
421,940,19,1D,59
422,941,19,36A,59
423,942,19,2C,59
424,943,19,32A,59
425,944,19,10D,59
426,945,19,36F,59
427,946,19,23E,59
428,947,19,26D,59
429,948,19,9B,59
430,949,19,11E,59
431,950,20,19B,40
432,951,20,22A,40
433,952,20,3A,40
434,953,20,5D,40
435,954,20,4D,40
436,955,20,7A,40
437,956,20,15D,40
438,957,20,9A,40
439,958,20,13F,40
440,959,20,6F,40
441,960,20,22F,40
442,961,20,15C,40
443,962,20,16E,40
444,963,20,21E,40
445,964,20,9E,40
446,965,20,14E,40
447,966,20,2C,40
448,967,20,7C,40
449,968,20,4A,40
450,969,20,19A,40
451,970,20,1C,40
452,971,20,6A,40
453,972,20,6D,40
454,973,20,18B,40
455,974,20,5E,40
456,975,20,22B,40
457,976,20,15E,40
458,977,20,4E,40
459,978,20,15A,40
460,979,20,9C,40
461,980,20,21C,40
462,981,20,19F,40
463,982,20,4B,40
464,983,20,18B,40
465,984,20,9D,40
466,985,20,22C,40
467,986,20,16C,40
468,987,20,4F,40
469,988,20,12E,40
470,989,20,8C,40
471,990,20,18D,40
472,991,20,21D,40
473,992,20,10B,40
474,993,20,3B,40
475,994,20,1A,40
476,995,20,9B,40
477,996,20,17E,40
478,997,20,1D,40
479,998,20,13C,40
480,999,20,7C,40
481,1000,21,11A,32
482,1001,21,12D,32
483,1002,21,7A,32
484,1003,21,2D,32
485,1004,21,19C,32
486,1005,21,5B,32
487,1006,21,6A,32
488,1007,21,15E,32
489,1008,21,2C,32
490,1009,21,13D,32
491,1010,21,6F,32
492,1011,21,5F,32
493,1012,21,12E,32
494,1013,21,12C,32
495,1014,21,10D,32
496,1015,21,17C,32
497,1016,21,14C,32
498,1017,21,2A,32
499,1018,21,18D,32
500,1019,21,13E,32
501,1020,21,16A,32
502,1021,21,12B,32
503,1022,21,4E,32
504,1023,21,4C,32
505,1024,21,10A,32
506,1025,21,15A,32
507,1026,21,1D,32
508,1027,21,12A,32
509,1028,21,15D,32
510,1029,21,17F,32
511,1030,21,13A,32
512,1031,21,1A,32
513,1032,21,3B,32
514,1033,21,21E,32
515,1034,21,18A,32
516,1035,21,22A,32
517,1036,21,7E,32
518,1037,21,17D,32
519,1038,21,16B,32
520,1039,21,14F,32
1,1040,21,1B,32
2,1041,21,3E,32
3,1042,21,8D,32
4,1043,21,2B,32
5,1044,21,18E,32
6,1045,21,12C,32
7,1046,21,20D,32
8,1047,21,7B,32
9,1048,21,14D,32
10,1049,21,5C,32
11,1050,22,2D,42
12,1051,22,4F,42
13,1052,22,9C,42
14,1053,22,12D,42
15,1054,22,10A,42
16,1055,22,2B,42
17,1056,22,17B,42
18,1057,22,10B,42
19,1058,22,7A,42
20,1059,22,20C,42
21,1060,22,4B,42
22,1061,22,13B,42
23,1062,22,22C,42
24,1063,22,11D,42
25,1064,22,5D,42
26,1065,22,12E,42
27,1066,22,16B,42
28,1067,22,9B,42
29,1068,22,22E,42
30,1069,22,12C,42
31,1070,22,18E,42
32,1071,22,17E,42
33,1072,22,13F,42
34,1073,22,1A,42
35,1074,22,16A,42
36,1075,22,18A,42
37,1076,22,11A,42
38,1077,22,7C,42
39,1078,22,7D,42
40,1079,22,13E,42
41,1080,22,15C,42
42,1081,22,14B,42
43,1082,22,13D,42
44,1083,22,10C,42
45,1084,22,12B,42
46,1085,22,18F,42
47,1086,22,1C,42
48,1087,22,8A,42
49,1088,22,2D,42
50,1089,22,6C,42
51,1090,22,13A,42
52,1091,22,3B,42
53,1092,22,22B,42
54,1093,22,17D,42
55,1094,22,17F,42
56,1095,22,7F,42
57,1096,22,9A,42
58,1097,22,7E,42
59,1098,22,4C,42
60,1099,22,16C,42
61,1100,23,18E,5
62,1101,23,18C,5
63,1102,23,21F,5
64,1103,23,7E,5
65,1104,23,19F,5
66,1105,23,21A,5
67,1106,23,9C,5
68,1107,23,6C,5
69,1108,23,10C,5
70,1109,23,22C,5
71,1110,23,3C,5
72,1111,23,4F,5
73,1112,23,4C,5
74,1113,23,18F,5
75,1114,23,21D,5
76,1115,23,15C,5
77,1116,23,14F,5
78,1117,23,9D,5
79,1118,23,10F,5
80,1119,23,15F,5
81,1120,23,12B,5
82,1121,23,14A,5
83,1122,23,15A,5
84,1123,23,5F,5
85,1124,23,18A,5
86,1125,23,12A,5
87,1126,23,2B,5
88,1127,23,4D,5
89,1128,23,9E,5
90,1129,23,6A,5
91,1130,23,5C,5
92,1131,23,5B,5
93,1132,23,8B,5
94,1133,23,7D,5
95,1134,23,16D,5
96,1135,23,16B,5
97,1136,23,1B,5
98,1137,23,4B,5
99,1138,23,17D,5
100,1139,23,19D,5
101,1140,23,9F,5
102,1141,23,19C,5
103,1142,23,3E,5
104,1143,23,9B,5
105,1144,23,22F,5
106,1145,23,6B,5
107,1146,23,12D,5
108,1147,23,10A,5
109,1148,23,19B,5
110,1149,23,12E,5
111,1150,24,37A,78
112,1151,24,11A,78
113,1152,24,30E,78
114,1153,24,31A,78
115,1154,24,21C,78
116,1155,24,1C,78
117,1156,24,7B,78
118,1157,24,2A,78
119,1158,24,35A,78
120,1159,24,1A,78
121,1160,24,29A,78
122,1161,24,12C,78
123,1162,24,26E,78
124,1163,24,32E,78
125,1164,24,27F,78
126,1165,24,9B,78
127,1166,24,33C,78
128,1167,24,35C,78
129,1168,24,32D,78
130,1169,24,28E,78
131,1170,24,30A,78
132,1171,24,9A,78
133,1172,24,7C,78
134,1173,24,36C,78
135,1174,24,9D,78
136,1175,24,27D,78
137,1176,24,37E,78
138,1177,24,22E,78
139,1178,24,8D,78
140,1179,24,20D,78
141,1180,24,24C,78
142,1181,24,8C,78
143,1182,24,8B,78
144,1183,24,30C,78
145,1184,24,26D,78
146,1185,24,12F,78
147,1186,24,22C,78
148,1187,24,28B,78
149,1188,24,10F,78
150,1189,24,23C,78
151,1190,24,22B,78
152,1191,24,36E,78
153,1192,24,9E,78
154,1193,24,24E,78
155,1194,24,32D,78
156,1195,24,35F,78
157,1196,24,30D,78
158,1197,24,25D,78
159,1198,24,20E,78
160,1199,24,8E,78
161,1200,25,10C,8
162,1201,25,22E,8
163,1202,25,11D,8
164,1203,25,20F,8
165,1204,25,19B,8
166,1205,25,13B,8
167,1206,25,10F,8
168,1207,25,22A,8
169,1208,25,18D,8
170,1209,25,21D,8
171,1210,25,12E,8
172,1211,25,17C,8
173,1212,25,4A,8
174,1213,25,22D,8
175,1214,25,13E,8
176,1215,25,9F,8
177,1216,25,19C,8
178,1217,25,17F,8
179,1218,25,6E,8
180,1219,25,14D,8
181,1220,25,18A,8
182,1221,25,4B,8
183,1222,25,2C,8
184,1223,25,14A,8
185,1224,25,20C,8
186,1225,25,21E,8
187,1226,25,13F,8
188,1227,25,6F,8
189,1228,25,10B,8
190,1229,25,11E,8
191,1230,25,12C,8
192,1231,25,22F,8
193,1232,25,7B,8
194,1233,25,1A,8
195,1234,25,16E,8
196,1235,25,21B,8
197,1236,25,21A,8
198,1237,25,16A,8
199,1238,25,16B,8
200,1239,25,18B,8
201,1240,25,5A,8
202,1241,25,1C,8
203,1242,25,12D,8
204,1243,25,17D,8
